fórmula,massa molar calculada pelo pymatgen,número de elementos calculado pelo pymatgen,eletronegatividade média calculada pelo pymatgen,desvio de eletronegatividade calculado pelo pymatgen,raio atômico médio calculado pelo pymatgen
Fe0.18La0.82,123.9545854,2,1.465,0.365,1.6749999999999998
Fe0.17La0.83,124.78519010000001,2,1.465,0.365,1.6749999999999998
Fe0.16La0.84,125.6157948,2,1.465,0.365,1.6749999999999998
Fe0.15La0.85,126.4463995,2,1.465,0.365,1.6749999999999998
Fe0.14La0.86,127.2770042,2,1.465,0.365,1.6749999999999998
Fe0.13La0.87,128.1076089,2,1.465,0.365,1.6749999999999998
Fe0.12La0.88,128.9382136,2,1.465,0.365,1.6749999999999998
Fe0.11La0.89,129.76881830000002,2,1.465,0.365,1.6749999999999998
Fe0.10La0.90,130.599423,2,1.465,0.365,1.6749999999999998
Fe0.09La0.91,131.4300277,2,1.465,0.365,1.6749999999999998
Fe0.08La0.92,132.26063240000002,2,1.465,0.365,1.6749999999999998
Fe0.07La0.93,133.09123710000003,2,1.465,0.365,1.6749999999999998
Fe0.06La0.94,133.92184179999998,2,1.465,0.365,1.6749999999999998
Fe0.05La0.95,134.7524465,2,1.465,0.365,1.6749999999999998
Fe0.04La0.96,135.5830512,2,1.465,0.365,1.6749999999999998
Fe0.03La0.97,136.4136559,2,1.465,0.365,1.6749999999999998
Fe0.02La0.98,137.2442606,2,1.465,0.365,1.6749999999999998
Fe0.01La0.99,138.0748653,2,1.465,0.365,1.6749999999999998
